"Country","Target Country","Target City"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","GERMANY","LECHFELD"
"USA","GERMANY","LECHFELD"
"USA","GERMANY","LECHFELD"
"USA","GERMANY","47 00 N 017 00 E"
"USA","AUSTRIA","LINZ"
"USA","GERMANY","MUNSTER"
"USA","GERMANY","MUNSTER"
"USA","GERMANY","MUNSTER"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","50 40 N 008 00 E"
"USA","GERMANY","50 40 N 008 00 E"
"USA","GERMANY","50 40 N 008 00 E"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","BURGSTEINFURT"
"USA","GERMANY","49 20 N 011 40 E"
"USA","GERMANY","50 40 N 007 00 E"
"USA","GERMANY","50 40 N 007 00 E"
"USA","GERMANY","50 40 N 009 20 E"
"USA","GERMANY","50 40 N 009 20 E"
"USA","GERMANY","51 40 N 006 40 E"
"USA","GERMANY","51 40 N 006 40 E"
"USA","SOLOMON ISLANDS","REKATA BAY"
"USA","ITALY","COSENZA"
"USA","BORNEO","BALIK PAPAN"
"USA","CAROLINE ISLANDS","2 00 N 149 4"
"USA","CHINA","TENGCHUNG"
"USA","BISMARK ARCHIPELAGO","KAVIENG"
"USA","BURMA","RANGDON"
"USA","BURMA","RANGDON"
"USA","FRANCE","BEAUMDNT LE ROGER"
"USA","FRANCE","BEAUMDNT LE ROGER"
"USA","ITALY","TERRE DI FARO"
"USA","ITALY","TERRE DI FARO"
"USA","ITALY","MESSINA STRAITS"
"USA","ITALY","MESSINA STRAITS"
"USA","ITALY","MESSINA"
"USA","ITALY","MESSINA"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","MESSINA"
"USA","ITALY","MESSINA"
"USA","ITALY","MESSINA"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","PUNTA DISTALLETTI"
"USA","ITALY","PUNTA DISTALLETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","MESSINA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"GREAT BRITAIN","ITALY","TURIN"
"GREAT BRITAIN","ITALY","TURIN"
"GREAT BRITAIN","ITALY","TURIN"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","SOLOMON ISLANDS","VILA"
"USA","BURMA","SAGAING"
"USA","SOLOMON ISLANDS","REKATA BAY"
"USA","SOLOMON ISLANDS","KOLOMBANGARA IS"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","BUT"
"USA","NEW GUINEA","WEWAK"
"USA","BORNEO","BALIK PAPAN"
"USA","NEW GUINEA","SALAMAUA"
"USA","BORNEO","BALIK PAPAN"
"USA","ITALY","COSENZA"
"USA","ITALY","LA SPEZIA"
"USA","ITALY","LAMEZIA"
"USA","BORNEO","BALIK PAPAN"
"USA","SOLOMON ISLANDS","REKATA BAY"
"USA","BORNEO","BALIK PAPAN"
"USA","CHINA","MANGSHIH"
"GREAT BRITAIN","GERMANY","BERLIN"
"GREAT BRITAIN","GERMANY","BERLIN"
"GREAT BRITAIN","GERMANY","AACHEN"
"GREAT BRITAIN","FRANCE","FORET DE NIEPPE"
"GREAT BRITAIN","FRANCE","FORET DE NIEPPE"
"GREAT BRITAIN","FRANCE","JOIGNY"
"GREAT BRITAIN","FRANCE","JOIGNY"
"GREAT BRITAIN","FRANCE","JOIGNY"
"GREAT BRITAIN","FRANCE","JOIGNY"
"GREAT BRITAIN","FRANCE","JOIGNY"
"GREAT BRITAIN","FRANCE","JOIGNY"
"GREAT BRITAIN","BELGIUM","ST TROND"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","CHINA","SAMAH"
"USA","CHINA","SAMAH"
"USA","CHINA","SIANGTAN"
"USA","CHINA","HENGYANG"
"USA","CHINA","SINTSIANG"
"USA","CHINA","TENGCHUNG"
"USA","CHINA","SAMAH"
"USA","CAROLINE ISLANDS","WOLEAI ISLAND"
"USA","CAROLINE ISLANDS","WOLEAI ISLAND"
"USA","CAROLINE ISLANDS","TAGAULAP ISLAND"
"USA","CHINA","SAMAH"
"GREAT BRITAIN","GERMANY","WESEL"
"GREAT BRITAIN","GERMANY","WESEL"
"GREAT BRITAIN","GERMANY","WESEL"
"GREAT BRITAIN","GERMANY","PEENEMUNDE"
"GREAT BRITAIN","GERMANY","PEENEMUNDE"
"GREAT BRITAIN","GERMANY","PEENEMUNDE"
"GREAT BRITAIN","GERMANY","PEENEMUNDE"
"GREAT BRITAIN","GERMANY","PEENEMUNDE"
"GREAT BRITAIN","GERMANY","PEENEMUNDE"
"GREAT BRITAIN","GERMANY","SYLT ISLAND"
"GREAT BRITAIN","GERMANY","SYLT ISLAND"
"GREAT BRITAIN","GERMANY","SYLT ISLAND"
"GREAT BRITAIN","GERMANY","SYLT ISLAND"
"GREAT BRITAIN","GERMANY","SYLT ISLAND"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","BATTIPAGLIA"
"USA","ITALY","BATTIPAGLIA"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","PALERMITI"
"USA","ITALY","PALERMITI"
"USA","ITALY","CASTROVILLARI"
"USA","ITALY","CASTROVILLARI"
"USA","ITALY","CASTROVILLARI"
"USA","ITALY","CASTROVILLARI"
"USA","ITALY","CASTROVILLARI"
"USA","ITALY","CASTROVILLARI"
"USA","ITALY","PALERMITI"
"USA","ITALY","PALERMITI"
"USA","ITALY","PALERMITI"
"USA","ITALY","PALERMITI"
"USA","ITALY","UNKNOWN"
"USA","ITALY","UNKNOWN"
"USA","BURMA","MEIKTILA"
"USA","BURMA","MEIKTILA"
"USA","BURMA","MEIKTILA"
"USA","NEW GUINEA","DAGUA"
"USA","NEW GUINEA","DAGUA"
"USA","NEW GUINEA","MADANG"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","NEW GUINEA","DAGUA"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","BISMARK ARCHIPELAGO","GASMATA"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","WEWAK"
"USA","ALEUTIAN ISLANDS","KISKA ISLAND"
"USA","ITALY","BAGNARA"
"USA","ITALY","SCALEA"
"USA","NEW GUINEA","WEWAK"
"USA","ITALY","STEFANO"
"USA","CHINA","WUCHUANG"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","CELEBES ISLANDS","ALMAHERA"
"USA","NEW GUINEA","JOP ISLAND"
"USA","NEW GUINEA","KAROEANI BAY"
"USA","CAROLINE ISLANDS","DUBLON ISLAND"
"USA","CAROLINE ISLANDS","TRUK ISLAND"
"USA","CELEBES ISLANDS","BOELA"
"USA","CELEBES ISLANDS","BOELA"
"USA","CELEBES ISLANDS","BOELA"
"USA","NEW GUINEA","CAPE OPMARAI"
"USA","NEW GUINEA","SELE STRAITS"
"USA","CELEBES ISLANDS","BOELA"
"USA","CELEBES ISLANDS","BOELA"
"USA","CHINA","WUCHANG"
"USA","NEW GUINEA","BOIKEN"
"USA","NEW GUINEA","BOIKEN"
"USA","CELEBES ISLANDS","HALMAHERA"
"USA","CELEBES ISLANDS","HALMAHERA"
"USA","NEW GUINEA","SARMI"
"USA","CHINA","LILING"
"USA","CHINA","WUCHANG"
"USA","CAROLINE ISLANDS","TRUK ISLAND"
"USA","CAROLINE ISLANDS","ETEN ISLAND"
"NEW ZEALAND","BISMARK ARCHIPELAGO","RATAVAL"
"NEW ZEALAND","BISMARK ARCHIPELAGO","RATAVAL"
"USA","CELEBES ISLANDS","CERAM ISLAND"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","NEW GUINEA","BOIKEN"
"USA","NEW GUINEA","BOIKEN"
"USA","NEW GUINEA","BOIKEN"
"USA","NEW GUINEA","BOIKEN"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","SORONG"
"USA","BURMA","MYITKYINA"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","MARIANAS ISLANDS","TINIAN"
"NEW ZEALAND","SOLOMON ISLANDS","TUNURU"
"USA","BURMA","MAINGHKA"
"USA","NEW GUINEA","BIAK"
"USA","CELEBES ISLANDS","HALMAHERA"
"USA","CELEBES ISLANDS","HALMAHERA"
"USA","NEW GUINEA","SORONG"
"USA","NEW GUINEA","SELE STRAITS"
"USA","NEW GUINEA","CAPE OPMARAI"
"USA","FORMOSA AND RYUKYU ISLANDS","FORMOSA STRAITS"
"NEW ZEALAND","NEW IRELAND","S. NEW IRELAND SWEEP"
"USA","FRANCE","LES LOGES"
"USA","FRANCE","LES LOGES"
"USA","FRANCE","LES LOGES"
"USA","FRANCE","LES LOGES"
"USA","FRANCE","LES LOGES"
"USA","FRANCE","LES LOGES"
"GREAT BRITAIN","GERMANY","SOLINGEN"
"USA","ITALY","BOLZANO"
"USA","ITALY","BOLZANO"
"USA","ITALY","BOLZANO"
"USA","ITALY","ALBONA"
"USA","ITALY","ALBONA"
"USA","ITALY","BOLZANO"
"USA","ITALY","BOLZANO"
"USA","ITALY","BOLZANO"
"USA","ITALY","BOLZANO"
"USA","ITALY","POLA"
"USA","ITALY","POLA"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CABALLO"
"USA","PHILIPPINE ISLANDS","CABALLO"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","WEWAK"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","BURMA","HAI HSENG"
"USA","BURMA","MYOTHA"
"USA","BURMA","MYOTHA"
"USA","BURMA","MYOTHA"
"USA","BURMA","MYITSON"
"USA","BURMA","MYITSON"
"USA","BURMA","LOILEM"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","SAN MATEO"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","PHILIPPINE ISLANDS","CABALLO"
"USA","PHILIPPINE ISLANDS","CABALLO"
"USA","PHILIPPINE ISLANDS","CABALLO"
"USA","VOLCANO AND BONIN ISLANDS","IWO JIMA"
"USA","MARCUS ISLANDS","MARCUS ISLAND"
"USA","VOLCANO AND BONIN ISLANDS","CHICHI JIMA"
"USA","PHILIPPINE ISLANDS","BABUYAN ISLAND"
"USA","BORNEO","MIRI"
"USA","BURMA","HEHO"
"USA","BURMA","HEHO"
"USA","PHILIPPINE ISLANDS","SAN FERNANDO"
"USA","PHILIPPINE ISLANDS","SAN FERNANDO"
"USA","PHILIPPINE ISLANDS","SAN FERNANDO"
"USA","PHILIPPINE ISLANDS","SAN FERNANDO"
"USA","PHILIPPINE ISLANDS","SAN FERNANDO"
"USA","PHILIPPINE ISLANDS","FORT STOTSENBUB"
"USA","PHILIPPINE ISLANDS","FORT STOTSENBUB"
"USA","PHILIPPINE ISLANDS","FORT STOTSENBUB"
"USA","PHILIPPINE ISLANDS","FORT STOTSENBUB"
"USA","PHILIPPINE ISLANDS","BABUYAN ISLAND"
"USA","PHILIPPINE ISLANDS","SAN FERNANDO"
"USA","NEW GUINEA","BUT"
"USA","FORMOSA AND RYUKYU ISLANDS","OKAYAMA"
"USA","FORMOSA AND RYUKYU ISLANDS","TAKAO"
"USA","FORMOSA AND RYUKYU ISLANDS","TAKAO"
"USA","BURMA","CHAUK"
"USA","BURMA","HEHO"
"USA","BURMA","HEHO"
"USA","BURMA","NAMSANG"
"USA","BURMA","HEHO"
"USA","FORMOSA AND RYUKYU ISLANDS","TAKAO"
"USA","BURMA","HEHO"
"USA","PHILIPPINE ISLANDS","TUGUEGARAO"
"USA","PHILIPPINE ISLANDS","CARRANGLAN"
"USA","PHILIPPINE ISLANDS","CARRANGLAN"
"USA","PHILIPPINE ISLANDS","BAGUIO"
"USA","SOLOMON ISLANDS","VITIAZ STRAITS"
"USA","BISMARK ARCHIPELAGO","MUNDUA ISLAND"
"USA","NEW GUINEA","WEWAK"
"USA","ITALY","NICASTRO"
"GREAT BRITAIN","GREECE","CROTONE"
"USA","BURMA","PROME"
"GREAT BRITAIN","FRANCE","BORDEAUX"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","ITALY","PUNTA DISTALLETTI"
"USA","ITALY","PUNTA DISTALLETTI"
"USA","ITALY","PUNTA DISTALLETTI"
"USA","ITALY","PUNTA DISTALLETTI"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","ANGITOLA RIVER"
"USA","ITALY","STALETTI"
"USA","ITALY","STALETTI"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","NEW GUINEA","WEWAK"
"USA","BURMA","BHAMO"
"USA","NEW GUINEA","DAGUA"
"USA","NEW GUINEA","BUT"
"USA","NEW GUINEA","WEWAK"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","BISMARK ARCHIPELAGO","BORAM"
"USA","ITALY","CATANZARO"
"USA","ITALY","COSENZA"
"USA","NEW GUINEA","MANOKWARI"
"GREAT BRITAIN","GERMANY","BERLIN"
"GREAT BRITAIN","GERMANY","BERLIN"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","FOGGIA"
"USA","ITALY","SAPRI"
"USA","ITALY","SAPRI"
"GREAT BRITAIN","GERMANY","AACHEN"
"GREAT BRITAIN","GERMANY","HOMBERG"
"GREAT BRITAIN","GERMANY","HOMBERG"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","BUDAPEST"
"USA","HUNGARY","LISPE"
"USA","HUNGARY","LISPE"
"USA","HUNGARY","LISPE"
"USA","HUNGARY","LISPE"
"USA","HUNGARY","LISPE"
"USA","HUNGARY","LISPE"
"USA","YUGOSLAVIA","BROD"
"USA","YUGOSLAVIA","BROD"
"USA","YUGOSLAVIA","BROD"
"USA","YUGOSLAVIA","BROD"
"USA","ITALY","BISTAGNO"
"USA","ITALY","BISTAGNO"
"USA","ITALY","FERRARA"
"USA","ITALY","FERRARA"
"USA","CHINA","SINSHIH"
